開始時刻,終了時刻,発言者,発言内容
00時43分04秒,00時43分18秒,株式会社VOLTMIND 長富元気,実際にこう要件定義であったり、その設計を組んでいくタイミングで、あのどういう形式だったら現実的にえー、可能。実現可能があるかな？っていうところは調べながら進めていく流れになるかなと思ってます。
00時43分18秒,00時43分20秒,E342TAN001,はい、ありがとうござい。
00時43分20秒,00時43分38秒,株式会社VOLTMIND 長富元気,とそうですねえと、ま、今のお話を伺いしていく中で、ま、おそらくこうあの。なんだっけ？レディクル様からはあのシナリオ型かai型かみたいな二択でっていうところがあったと思です。けどま今回ai型が多分
00時43分38秒,00時43分40秒,株式会社VOLTMIND 長富元気,一番いいのかなと思っています。
00時43分41秒,00時43分43秒,E342TAN001,シナリオ型ってどんなやつでしたっけ？すいませ。
00時43分43秒,00時43分51秒,株式会社VOLTMIND 長富元気,シナリオ型が説明。例えば、もう事前に回答を用意しておいて。
00時43分51秒,00時43分52秒,E342TAN001,あはあはあはあ。
00時43分52秒,00時44分02秒,株式会社VOLTMIND 長富元気,選択肢。例えば、どんな要件でお困りですか？選択肢一、二、三、四があって、一を選択したら次。この質問ここの質問が出てきて。のパターンですね。
00時44分03秒,00時44分03秒,E342TAN001,はい。はいはい。
00時44分03秒,00時44分13秒,株式会社VOLTMIND 長富元気,それ。それだともう多分シナリオ組むだけでもう無限の条件分岐になっちゃうの。ちょっと大変なので、ま、今回やり方が多分一番いいと思ってます。
00時44分13秒,00時44分14秒,E342TAN001,はい。
00時44分15秒,00時44分19秒,株式会社VOLTMIND 長富元気,で、あとはそうですね。
00時44分20秒,00時44分26秒,株式会社VOLTMIND 長富元気,コンテンツごとの閲覧権限みたいな言葉もあったかなと思ってまして。
00時44分26秒,00時44分27秒,E342TAN001,はい。
00時44分27秒,00時44分30秒,株式会社VOLTMIND 長富元気,それってなんかこうイメージとかってありますか？
00時44分30秒,00時44分32秒,E342TAN001,そうですね。そこはあの
00時44分33秒,00時44分36秒,E342TAN001,途中でお話しした技術情報ですね。レポート
00時44分36秒,00時44分36秒,E342TAN001,について
00時44分36秒,00時44分43秒,E342TAN001,ですけど、そこちょっと特性が高いんで、誰でも見れるような状態だったら困るので、
00時44分43秒,00時44分44秒,E342TAN001,特に社外の
00時44分44秒,00時44分46秒,E342TAN001,社会に展開したときとかは、
00時44分47秒,00時44分49秒,E342TAN001,そこへのアクセス権とかは
00時44分50秒,00時44分56秒,E342TAN001,気をつけないといけないねっていう話をしてたんですけど、今の段階ではそこまで気にしなくていいかなと思ってます。
00時44分56秒,00時44分57秒,株式会社VOLTMIND 長富元気,なるほど。なるほど。
00時44分57秒,00時44分57秒,E342TAN001,はい。
00時44分57秒,00時45分05秒,株式会社VOLTMIND 長富元気,承知いたしました。ありがとうございます。あとはえっと、そうだ。多言語対応に関してもちょっとお伺いしたいなと思ってまして。
00時45分05秒,00時45分06秒,E342TAN001,はい。
00時45分06秒,00時45分20秒,株式会社VOLTMIND 長富元気,ま足元こうすぐにっていうところじゃないのかもしれないんですけれども、あの、仮にその今、尼崎拠点の方におつ。新しいの作ってお使いいただいて、これいいねってなった場合、あのどの拠点にもあの
00時45分20秒,00時45分21秒,株式会社VOLTMIND 長富元気,持っていくみたいな流れなんですか？
00時45分21秒,00時45分22秒,株式会社VOLTMIND 長富元気,そうですね。はい、
00時45分22秒,00時45分26秒,株式会社VOLTMIND 長富元気,その時って言語で言うと英語で。
00時45分26秒,00時45分29秒,株式会社VOLTMIND 長富元気,とドイツ語とかですかね。
00時45分29秒,00時45分40秒,E342TAN001,英語が一番多くてドイツ語と。あとはね。でもやっぱ世界各国に拠点あるんでもしね、そこのみんなのデータも読ませるってなると、例えばハングルだったり、中枢。
00時45分40秒,00時45分41秒,株式会社VOLTMIND 長富元気,よかったり。
00時45分41秒,00時45分46秒,E342TAN001,多分たくさん出てくると思ですけど、まずは
00時45分46秒,00時45分50秒,E342TAN001,日本語と英語でいいかなとは思います。
00時45分50秒,00時45分52秒,株式会社VOLTMIND 長富元気,てます。あ、承知いたしました。
00時45分53秒,00時45分57秒,株式会社VOLTMIND 長富元気,最初の段階からもう英語は入れておいた方が良い
00時45分57秒,00時45分58秒,株式会社VOLTMIND 長富元気,っていうことですか？
00時45分58秒,00時46分02秒,E342TAN001,そうですね。
00時46分02秒,00時46分03秒,E342TAN001,でも、
00時46分04秒,00時46分11秒,E342TAN001,英語を入れることで、なんか工数がめっちゃ増えるとか、コストがめっちゃ増えるんやったら日本語限定。
00時46分11秒,00時46分13秒,株式会社VOLTMIND 長富元気,ありがとうございます。
00時46分13秒,00時46分14秒,E342TAN001,そこまで必要じゃないです。
00時46分14秒,00時46分15秒,株式会社VOLTMIND 長富元気,うーん、承知いたしました。
00時46分15秒,00時46分16秒,E342TAN001,はい。
00時46分17秒,00時46分17秒,株式会社VOLTMIND 長富元気,ありがとうござい。
00時46分18秒,00時46分23秒,株式会社VOLTMIND 長富元気,あと使うシーンって基本もう。みんなパソコン上で使うっていう想定。
00時46分23秒,00時46分25秒,E342TAN001,はい、今はそう想定してます。
00時46分27秒,00時46分29秒,株式会社VOLTMIND 長富元気,そうですね。あと
00時46分30秒,00時46分31秒,株式会社VOLTMIND 長富元気,あとはー
00時46分32秒,00時46分33秒,株式会社VOLTMIND 長富元気,えーえー
00時46分42秒,00時46分43秒,株式会社VOLTMIND 長富元気,えっと、
00時46分44秒,00時46分45秒,株式会社VOLTMIND 長富元気,あとあの
00時46分45秒,00時46分54秒,株式会社VOLTMIND 長富元気,レディクル様に。からいただいてた情報のところで、えっと、費用対効果を可視化するためにこうデモみたいなものが欲しいみたいなお話も。
00時46分54秒,00時46分55秒,E342TAN001,そうなんですよね。
00時46分55秒,00時46分56秒,株式会社VOLTMIND 長富元気,思ってまして。
00時46分56秒,00時46分57秒,E342TAN001,はい。はいはいはい。
00時46分57秒,00時47分02秒,株式会社VOLTMIND 長富元気,本当に僕ら結構そういうの得意な理由なんです。
00時47分02秒,00時47分03秒,E342TAN001,そうですね。はい。
00時47分03秒,00時47分03秒,株式会社VOLTMIND 長富元気,ぜひ。そこは。
00時47分03秒,00時47分04秒,E342TAN001,ことです。
00時47分04秒,00時47分06秒,株式会社VOLTMIND 長富元気,くださいっていうところです。
00時47分06秒,00時47分13秒,E342TAN001,特にね。デモの必要性があるのは、最終の決済者が日本の社長なんですけど、
00時47分14秒,00時47分20秒,E342TAN001,やっぱ社長決済通すのにやっぱこんだけの効果があるというのは実際にね。こう。やっぱデモで
00時47分21秒,00時47分26秒,E342TAN001,具体的になんか質問してもらってね。そこに対してこうわーってこう回答が出てきて、おーみたいなのがあれば。
00時47分27秒,00時47分28秒,E342TAN001,一番いいなと。
00時47分28秒,00時47分29秒,E342TAN001,そうですよ。
00時47分29秒,00時47分30秒,E342TAN001,はーい。
00時47分30秒,00時47分31秒,株式会社VOLTMIND 長富元気,ありがとうございます。
00時47分32秒,00時47分35秒,株式会社VOLTMIND 長富元気,えっと、そうですね。
00時47分36秒,00時47分36秒,株式会社VOLTMIND 長富元気,えっとー。
00時47分37秒,00時47分55秒,株式会社VOLTMIND 長富元気,なんか例えばなんですけど、僕らデモを出すことももちろん可能ですし、ぜひご協力させていただければと思ですけど。でも、二種類必要かなと思ってて、その最終決済を通す時のデモっていう。ま、ある程度その。なんていですかね？ちょっと見栄えとかもちょっとだけ凝ったバージョンみたいな。
00時47分55秒,00時47分56秒,E342TAN001,おーはい。
00時47分57秒,00時48分06秒,株式会社VOLTMIND 長富元気,で、えっと、その前段階でのデモは多分ちょっと要件の認識の相互がないかっていうところの。
00時48分06秒,00時48分07秒,株式会社VOLTMIND 長富元気,必要なのかなと思います。
00時48分07秒,00時48分08秒,E342TAN001,あ。はいはいはいはい。
00時48分08秒,00時48分24秒,株式会社VOLTMIND 長富元気,こういう管理者側はこういうファイルをアップロードしたら、アップロード。事前に準備しておいて。でユーザーが使うとき、こういう質問したら、こういう回答返ってくるよっていう、なんかそういう機能のすり合わせのためのデモみたいなものもあった方がいいのかなとはちょっ。
00時48分24秒,00時48分25秒,E342TAN001,あ。はい。
00時48分25秒,00時48分25秒,株式会社VOLTMIND 長富元気,やってまして。
00時48分25秒,00時48分26秒,E342TAN001,あ。はい。
00時48分26秒,00時48分30秒,株式会社VOLTMIND 長富元気,すごく簡易的になっ
00時48分30秒,00時48分37秒,株式会社VOLTMIND 長富元気,ちゃうとは思ですけど、例えば二週間後とかにもう一度お時間いただければそこまでにめっちゃ簡単なものになるんですけど。
00時48分37秒,00時48分38秒,E342TAN001,あ。はい。
00時48分38秒,00時48分44秒,株式会社VOLTMIND 長富元気,作らせていただいて認識そうないですか？っていうのをちょっとやらせていただけたらめちゃくちゃ嬉しいなと。
00時48分44秒,00時48分45秒,E342TAN001,ありがとうございます。ぜひお願いします。
00時48分45秒,00時48分46秒,株式会社VOLTMIND 長富元気,ありがとうございます。
00時48分49秒,00時48分54秒,株式会社VOLTMIND 長富元気,あの、まぁちょっと二週間なので、本当に本当にもうミニマムな。
00時48分54秒,00時48分54秒,E342TAN001,はい。
00時48分54秒,00時48分55秒,株式会社VOLTMIND 長富元気,感じになっちゃうと思ですけど。
00時48分55秒,00時48分59秒,E342TAN001,はい、ありがとうございます。でもね、最初の段階で
00時48分59秒,00時49分00秒,E342TAN001,ずれがあると。
00時49分00秒,00時49分01秒,株式会社VOLTMIND 長富元気,そうですね。
00時49分01秒,00時49分04秒,E342TAN001,めっちゃ作っていただいて安いことじゃなかったんですけど。っていうのはちょっ番ですね。
00時49分04秒,00時49分05秒,株式会社VOLTMIND 長富元気,そうですね。
00時49分05秒,00時49分05秒,E342TAN001,はい
00時49分05秒,00時49分11秒,E342TAN001,なので、戻りがないように。のすり合わせを密にやっていきたいなと思ってます。
00時49分12秒,00時49分12秒,E342TAN001,ありがとうござい。
00時49分14秒,00時49分23秒,株式会社VOLTMIND 長富元気,あと、そうですね。あの費用のところでランニングが月20から30くらいみたいなのを。レディクルさんからはいただいてたんですけども。
00時49分23秒,00時49分23秒,E342TAN001,えー。
00時49分23秒,00時49分32秒,株式会社VOLTMIND 長富元気,って、あのもう全てをひっくるめた。ランニングコストっていう認識ですよね。例えば、今回おそらく必要になってくるのがえまずaiのapi料金。
00時49分32秒,00時49分34秒,E342TAN001,はい。はいはい。
00時49分34秒,00時49分41秒,株式会社VOLTMIND 長富元気,これクラウドにするかでもう一個がサーバーの料金ですね。クラウドにするかオンプレにするかで。
00時49分41秒,00時49分42秒,E342TAN001,ですけど。
00時49分42秒,00時49分46秒,株式会社VOLTMIND 長富元気,あとはまあ僕らのその補修料金みたいなところ。まぁこれは削ることが可能です。
00時49分46秒,00時49分47秒,株式会社VOLTMIND 長富元気,はいはい、
00時49分47秒,00時49分55秒,株式会社VOLTMIND 長富元気,この二つはどうしても多分かかってしまうかなとaiのapi料金がこれがあの重量課金制なので。
00時49分55秒,00時49分55秒,E342TAN001,はい。はい。
00時49分55秒,00時49分57秒,株式会社VOLTMIND 長富元気,どのくらい使われるかによって。
00時49分57秒,00時49分58秒,E342TAN001,ですよね？
00時49分58秒,00時49分59秒,株式会社VOLTMIND 長富元気,変動はある
00時49分59秒,00時50分05秒,株式会社VOLTMIND 長富元気,かなと思ってて、あの、先ほどあの一番最初に画面共有させていただ。いた
00時50分05秒,00時50分08秒,株式会社VOLTMIND 長富元気,不動産の学生向けのaiツール
00時50分08秒,00時50分08秒,株式会社VOLTMIND 長富元気,ありがとう。ござい
00時50分08秒,00時50分15秒,株式会社VOLTMIND 長富元気,ちょっと参考程度にお伝えすると、今130人くらい利用者がいて。
00時50分15秒,00時50分15秒,E342TAN001,はーい。
00時50分15秒,00時50分26秒,株式会社VOLTMIND 長富元気,で、えっと、結構みんな頻繁にやり取りはしてるんですけど、まだ一ヶ月くらいですね。リリースしたら一ヶ月のコストが五ドルくらいでした。
00時50分26秒,00時50分28秒,株式会社VOLTMIND 長富元気,全然安いですね。
00時50分28秒,00時50分30秒,E342TAN001,意外とそんな一人で少ないんだっていう。
00時50分30秒,00時50分31秒,E342TAN001,全体で。
00時50分31秒,00時50分32秒,株式会社VOLTMIND 長富元気,全体でです。
00時50分32秒,00時50分33秒,E342TAN001,荒井えぇー。
00時50分35秒,00時50分45秒,株式会社VOLTMIND 長富元気,なので、えっと、ままだそんなに頻度が高くないっていうのはあるのかもしれないんですけれども、ユーザーがま、多分平均どんくらいかな？
00時50分45秒,00時50分49秒,株式会社VOLTMIND 長富元気,一日に鳴らしたら。
00時50分49秒,00時50分53秒,E342TAN001,十往復もしてないと思うので。
00時50分53秒,00時50分59秒,株式会社VOLTMIND 長富元気,まだ頻度が少ないから五ドルくらいっていうところはありますが、参考。
00時50分59秒,00時51分00秒,E342TAN001,はい。はい。
00時51分00秒,00時51分04秒,株式会社VOLTMIND 長富元気,数値としてちょっと今出せる情報として、そこはお出しできます。
00時51分04秒,00時51分07秒,E342TAN001,それが増えたから一気に50ドルとかなさそうなんで。
00時51分07秒,00時51分18秒,株式会社VOLTMIND 長富元気,そうですね。一気にこう十人使ってたのがいきなりこう。翌日百人使ってみんなめちゃめちゃ使うとかだったらこう一気に十倍になるとかはあり得るんですけど、
00時51分18秒,00時51分18秒,株式会社VOLTMIND 長富元気,そうじゃない
00時51分18秒,00時51分19秒,株式会社VOLTMIND 長富元気,のであれば
00時51分19秒,00時51分37秒,株式会社VOLTMIND 長富元気,大丈夫かなと思ってます。まあとそれにaiのモデルを例えば、一番今だと一般的なというか一般的で、かつそのある程度高性能みたいなのが、チャットgptの4.1あたり
00時51分37秒,00時51分38秒,株式会社VOLTMIND 長富元気,だと思です。
00時51分38秒,00時51分39秒,株式会社VOLTMIND 長富元気,です。けど。
00時51分39秒,00時51分39秒,E342TAN001,はい。
00時51分40秒,00時51分57秒,株式会社VOLTMIND 長富元気,それちょっと思ったよりもかなり上がっちゃったよねってなったら一個モデル下げて安いバージョンのO三ミニとかもあるんですよ。それしたらそんなに性能下がらず、なおかつ安いapiで。
00時51分57秒,00時51分57秒,E342TAN001,ああ、そうなんですね。
00時51分57秒,00時52分04秒,株式会社VOLTMIND 長富元気,とかもあるので、そこは常にウォッチしておいてちょっと跳ね上がっちゃった。タイミングでモデル変えるとかは。
00時52分04秒,00時52分04秒,E342TAN001,なるほど。
00時52分04秒,00時52分06秒,株式会社VOLTMIND 長富元気,柔軟に対応できます。
00時52分06秒,00時52分07秒,E342TAN001,へえー。
00時52分09秒,00時52分09秒,E342TAN001,承知しました。
00時52分23秒,00時52分24秒,E342TAN001,はい、あどうぞ。
00時52分24秒,00時52分26秒,E342TAN001,もちろんね、ランニングコスト
00時52分26秒,00時52分33秒,E342TAN001,もう。まあイニシャルもそうですけど。まあ費用対効果といったところなので、いや、こんだけ効果あんなやったら全然もっと払っていいよってね。その。
00時52分33秒,00時52分34秒,株式会社VOLTMIND 長富元気,うーん。
00時52分34秒,00時52分36秒,E342TAN001,会社が言ってくれるかもしれないし、そこは
00時52分36秒,00時52分37秒,E342TAN001,あのー
00時52分38秒,00時52分46秒,E342TAN001,なんていうかな。蓋を開けてみないとわからないところではあるんですけど、まあ現実的なところなんかもう月百万かかっちゃいます。とかだったらなんかあーってなるなるな。
00時52分48秒,00時52分50秒,株式会社VOLTMIND 長富元気,業務効率化しても。
00時52分50秒,00時52分51秒,E342TAN001,はい。
00時52分51秒,00時52分57秒,株式会社VOLTMIND 長富元気,なんか効率化できた人件費分それ超えちゃったら意味ないですもんね。その
00時52分57秒,00時52分58秒,株式会社VOLTMIND 長富元気,はい、すいません。
00時52分58秒,00時52分58秒,株式会社VOLTMIND 長富元気,量量化W。
00時52分59秒,00時53分00秒,E342TAN001,そうですね。
00時53分00秒,00時53分00秒,株式会社VOLTMIND 長富元気,ありがとうござい。
00時53分00秒,00時53分03秒,株式会社VOLTMIND 長富元気,承知いたしました。ありがとうございます。
00時53分03秒,00時53分03秒,E342TAN001,ありがとうござ。
00時53分03秒,00時53分09秒,株式会社VOLTMIND 長富元気,そうですね。あと、えっと、あとこれもし差し支えなければなんですけど。
00時53分09秒,00時53分10秒,E342TAN001,はい。はい。
00時53分10秒,00時53分14秒,株式会社VOLTMIND 長富元気,今回弊社以外にもいろいろ会社様に相談されてると思ですけど。
00時53分14秒,00時53分15秒,E342TAN001,はい、そうですね。
00時53分15秒,00時53分21秒,株式会社VOLTMIND 長富元気,企画、検討していく中で、どういう点を特に重視
00時53分22秒,00時53分26秒,株式会社VOLTMIND 長富元気,されますか？っていうところ、もし差し支えなければなければお送り。
00時53分26秒,00時53分26秒,E342TAN001,はい。
00時53分26秒,00時53分28秒,株式会社VOLTMIND 長富元気,例えば期間なのか。
00時53分28秒,00時53分28秒,株式会社VOLTMIND 長富元気,ありがとうござ
00時53分28秒,00時53分38秒,株式会社VOLTMIND 長富元気,もその金額なのか、もしくはそのシステムのクオリティなのか、柔軟な対応なのか、いろんなポイントはあると思ですけれ。
00時53分38秒,00時53分44秒,E342TAN001,そうですね。はい、今三つ言っていただいた中で、やっぱ一番優先しているのはそのまあクオリティというか。
00時53分44秒,00時53分44秒,株式会社VOLTMIND 長富元気,まあまり。
00時53分44秒,00時53分46秒,E342TAN001,使い勝手の。まあパフォーマンスですね。
00時53分46秒,00時53分47秒,株式会社VOLTMIND 長富元気,あ、なるほど。
00時53分47秒,00時53分48秒,E342TAN001,どれだけ成果が
00時53分49秒,00時53分51秒,E342TAN001,が上がるか、効率が上がるか。
00時53分51秒,00時53分52秒,株式会社VOLTMIND 長富元気,はい。
00時53分52秒,00時53分55秒,E342TAN001,っていうところですよね。その次はやっぱ価格
00時53分55秒,00時53分56秒,E342TAN001,すいません。
00時53分57秒,00時53分58秒,株式会社VOLTMIND 長富元気,承知いたしました。
00時53分58秒,00時53分59秒,E342TAN001,さんは、はい、
00時53分59秒,00時54分02秒,E342TAN001,大事ですけど、今三つの中では優先順位。一番。い。
00時54分02秒,00時54分09秒,株式会社VOLTMIND 長富元気,あ、なるほど。なるほど、承知いたしました。ありがとうございます。もしあの弊社であの
00時54分09秒,00時54分18秒,株式会社VOLTMIND 長富元気,あのご一緒できるってなった場合は、もうあの弊社の拠点が大阪ですので、もうあの尼崎の拠点までお伺いさせていただきながら、あの。
00時54分18秒,00時54分19秒,E342TAN001,あ、そうなんですね。
00時54分19秒,00時54分32秒,株式会社VOLTMIND 長富元気,いろいろ。ヒアリングも。より現地でやった方がより解像度も僕らとしても上がるかなと思うので、なんか？もしこうご一緒していただけるってなれば、あのそういった形でやらせていただけたら嬉しいなと思っております。
00時54分32秒,00時54分34秒,E342TAN001,はい、承知しました。ありがとうござい。
00時54分34秒,00時54分43秒,株式会社VOLTMIND 長富元気,ありがとうございます。えっと、すいません。ちょここ僕がめっちゃくちゃ今回バーと喋っちゃったんですけど、何か逆にご質問とかご不明点とかあったりされますでしょうか？
00時54分43秒,00時54分47秒,E342TAN001,ありがとうございます。ちょっと質問させていただいたんでありがとうございます。今のところ質問はないです。
00時54分47秒,00時54分53秒,株式会社VOLTMIND 長富元気,ありがとうございます。えっとですね。そうしましたらですね。
00時54分53秒,00時54分54秒,E342TAN001,わかります。
00時54分54秒,00時54分55秒,株式会社VOLTMIND 長富元気,えっとー
00時54分57秒,00時55分02秒,株式会社VOLTMIND 長富元気,二週間後くらいにもう一度あのお時間この場で日程とか決めれたら。
00時55分02秒,00時55分03秒,E342TAN001,そうですね。もうはい。
00時55分03秒,00時55分04秒,株式会社VOLTMIND 長富元気,ありがとうございま。
00時55分04秒,00時55分05秒,E342TAN001,いいですか？決めさせていただいてありがとうござ。
00時55分05秒,00時55分07秒,株式会社VOLTMIND 長富元気,ちょっと今僕もカレンダーを
00時55分08秒,00時55分16秒,株式会社VOLTMIND 長富元気,今日が22日で、来週再来週が8月四の週ですかね？0。
00時55分16秒,00時55分17秒,E342TAN001,そうですね。はい。
00時55分17秒,00時55分18秒,株式会社VOLTMIND 長富元気,どこか。
00時55分19秒,00時55分20秒,E342TAN001,0は
00時55分21秒,00時55分24秒,E342TAN001,四の午前以外は私大丈夫です。
00時55分24秒,00時55分28秒,株式会社VOLTMIND 長富元気,あ、ありがとうございます。ちょっと今確認します。
00時55分28秒,00時55分29秒,E342TAN001,お願いします。
00時55分29秒,00時55分30秒,株式会社VOLTMIND 長富元気,そしたら
00時55分31秒,00時55分32秒,株式会社VOLTMIND 長富元気,えーえー
00時55分35秒,00時55分40秒,株式会社VOLTMIND 長富元気,七か八。木曜日木曜日か金曜日ってご都合いかがですか？
00時55分40秒,00時55分44秒,E342TAN001,木曜日。金曜日。はえとはい、木曜日は。
00時55分44秒,00時55分45秒,株式会社VOLTMIND 長富元気,はい。
00時55分45秒,00時55分51秒,E342TAN001,多分さっき予定入れちゃえば大丈夫で。八。は午前中が大丈夫です。
00時55分52秒,00時55分56秒,株式会社VOLTMIND 長富元気,承知いたしました。そしたら、八の午前中。
00時55分56秒,00時55分56秒,E342TAN001,はい。
00時55分56秒,00時56分00秒,株式会社VOLTMIND 長富元気,ああ、そうですね。十時からだとちょっ早いですか11時とかです。
00時56分00秒,00時56分03秒,E342TAN001,全然十時でもいいですよ。11時でもいいですけど。
00時56分03秒,00時56分06秒,株式会社VOLTMIND 長富元気,じゃあちょっと待ってくださいね。
00時56分08秒,00時56分10秒,株式会社VOLTMIND 長富元気,あ、そしたら11時でもよろしいです。か？
00時56分10秒,00時56分11秒,E342TAN001,11時。はーい。
00時56分11秒,00時56分14秒,株式会社VOLTMIND 長富元気,ありがとうございます。
00時56分22秒,00時56分29秒,株式会社VOLTMIND 長富元気,えっと、8月1月の八日の金曜日11時からですね。
00時56分29秒,00時56分31秒,E342TAN001,八日ですよね？
00時56分31秒,00時56分32秒,株式会社VOLTMIND 長富元気,はい、八日です。
00時56分33秒,00時56分39秒,株式会社VOLTMIND 長富元気,これ。ちなみに連絡取る手段はメールでやり取りさせていただいてもよろしいですかね。
00時56分39秒,00時56分40秒,E342TAN001,はいはい。もちろん。はい。
00時56分40秒,00時56分44秒,株式会社VOLTMIND 長富元気,ありがとうございます。ちなみにメールアドレス。
00時56分44秒,00時56分46秒,E342TAN001,あ、そうか。私そうか、すいません。
00時56分46秒,00時56分50秒,株式会社VOLTMIND 長富元気,このズームのチャットに貼っていただくこと可能ですか？
00時56分50秒,00時56分51秒,E342TAN001,あーもちろんはい。
00時56分51秒,00時56分53秒,株式会社VOLTMIND 長富元気,ありがとうございます。
00時56分57秒,00時57分01秒,株式会社VOLTMIND 長富元気,ちなみに私のメールアドレスがこちらになります。
00時57分09秒,00時57分11秒,E342TAN001,あ、どっちか直ししてるんですけど、すいません。
00時57分15秒,00時57分16秒,E342TAN001,はい、ありがとうござい。
00時57分18秒,00時57分19秒,株式会社VOLTMIND 長富元気,ありがとうございます。
00時57分19秒,00時57分21秒,E342TAN001,どこに置く？一回
00時57分21秒,00時57分23秒,E342TAN001,からメール送ったら確実ですね。これ。
00時57分23秒,00時57分24秒,株式会社VOLTMIND 長富元気,あ、そうですね。
00時57分24秒,00時57分25秒,E342TAN001,ありがとうござ。
00時57分25秒,00時57分26秒,E342TAN001,なんかタイポしてるかもしれない
00時57分33秒,00時57分34秒,E342TAN001,タイトルだけすいません。
00時57分34秒,00時57分36秒,株式会社VOLTMIND 長富元気,あとんでもないです。大丈夫です。
00時57分50秒,00時57分52秒,株式会社VOLTMIND 長富元気,あ、見ました。ありがとうござい。
00時57分52秒,00時57分53秒,E342TAN001,あきました。あ、よかったです。はい。
00時57分53秒,00時57分57秒,株式会社VOLTMIND 長富元気,ではちょっとこちらで今後やりさせていただければと思います。
00時57分57秒,00時57分58秒,E342TAN001,はい、よろしくお願いいたします。
00時57分58秒,00時58分07秒,株式会社VOLTMIND 長富元気,ではえっと、二週間後、またちょっとそのタイミングであの本当に簡易的なものの、でも、ちょっとあのできる限りのところでやって。
00時58分07秒,00時58分07秒,E342TAN001,ありがとうございます。
00時58分07秒,00時58分10秒,株式会社VOLTMIND 長富元気,ぜひよろしくお願いいたします。
00時58分10秒,00時58分12秒,E342TAN001,はい、こちらこそよろしくお願いいたします。よろしくお願いしま。
00時58分12秒,00時58分15秒,株式会社VOLTMIND 長富元気,本日はお時間いただきましてありがとうございました。
00時58分15秒,00時58分16秒,E342TAN001,どうもありがとうございました。
00時58分16秒,00時58分17秒,株式会社VOLTMIND 長富元気,はい、どうぞ。
00時58分17秒,00時58分17秒,吉武克のiPad,ありがとうございます。
00時58分17秒,00時58分18秒,株式会社VOLTMIND 長富元気,よろしくお願い致します。
00時58分18秒,00時58分18秒,E342TAN001,よろしくお願いしま。
00時58分18秒,00時58分21秒,株式会社VOLTMIND 長富元気,ありがとうございます。失礼いたします。
00時58分21秒,00時58分21秒,E342TAN001,よろしくお願いします。